요일,시군구,사망자수,중상자수,경상자수,부상신고자수,기상상태,인구수,도로형태
토요일,대전광역시 대덕구 법동,0,0,1,0,맑음,27012.0,교차로 - 교차로부근
토요일,대전광역시 대덕구 법동,0,0,1,0,맑음,12218.0,교차로 - 교차로부근
토요일,대전광역시 대덕구 법동,0,0,1,0,맑음,14794.0,교차로 - 교차로부근
토요일,대전광역시 동구 용전동,0,1,1,0,맑음,19995.0,교차로 - 교차로안
토요일,대전광역시 동구 용전동,0,1,1,0,맑음,19995.0,교차로 - 교차로안
토요일,대전광역시 서구 둔산동,0,0,4,0,맑음,70196.0,교차로 - 교차로부근
토요일,대전광역시 서구 둔산동,0,0,4,0,맑음,16308.0,교차로 - 교차로부근
토요일,대전광역시 서구 둔산동,0,0,4,0,맑음,35023.0,교차로 - 교차로부근
토요일,대전광역시 서구 둔산동,0,0,4,0,맑음,18865.0,교차로 - 교차로부근
토요일,대전광역시 대덕구 비래동,0,1,0,0,맑음,14987.0,교차로 - 교차로횡단보도내
토요일,대전광역시 대덕구 비래동,0,1,0,0,맑음,14987.0,교차로 - 교차로횡단보도내
토요일,대전광역시 대덕구 읍내동,0,0,4,0,맑음,5729.0,교차로 - 교차로부근
일요일,대전광역시 동구 자양동,0,1,0,0,맑음,10901.0,교차로 - 교차로안
일요일,대전광역시 동구 자양동,0,1,0,0,맑음,10901.0,교차로 - 교차로안
일요일,대전광역시 동구 용운동,0,1,0,0,맑음,21134.0,교차로 - 교차로부근
일요일,대전광역시 동구 용운동,0,1,0,0,맑음,21134.0,교차로 - 교차로부근
월요일,대전광역시 서구 복수동,0,5,1,0,맑음,21514.0,교차로 - 교차로안
월요일,대전광역시 서구 복수동,0,5,1,0,맑음,21514.0,교차로 - 교차로안
월요일,대전광역시 중구 산성동,0,1,0,0,흐림,17351.0,교차로 - 교차로부근
월요일,대전광역시 중구 산성동,0,1,0,0,흐림,25360.0,교차로 - 교차로부근
월요일,대전광역시 대덕구 송촌동,0,0,1,0,흐림,25620.0,교차로 - 교차로안
월요일,대전광역시 대덕구 송촌동,0,0,1,0,흐림,25620.0,교차로 - 교차로안
월요일,대전광역시 유성구 장대동,0,0,6,0,맑음,12421.0,교차로 - 교차로안
월요일,대전광역시 대덕구 상서동,0,1,1,0,맑음,1258.0,교차로 - 교차로안
월요일,대전광역시 서구 둔산동,0,0,1,0,맑음,70196.0,교차로 - 교차로횡단보도내
월요일,대전광역시 서구 둔산동,0,0,1,0,맑음,16308.0,교차로 - 교차로횡단보도내
월요일,대전광역시 서구 둔산동,0,0,1,0,맑음,35023.0,교차로 - 교차로횡단보도내
월요일,대전광역시 서구 둔산동,0,0,1,0,맑음,18865.0,교차로 - 교차로횡단보도내
월요일,대전광역시 유성구 원내동,0,0,1,0,맑음,11429.0,교차로 - 교차로안
월요일,대전광역시 중구 유천동,0,0,1,0,맑음,18716.0,교차로 - 교차로부근
월요일,대전광역시 중구 유천동,0,0,1,0,맑음,5760.0,교차로 - 교차로부근
월요일,대전광역시 중구 유천동,0,0,1,0,맑음,12956.0,교차로 - 교차로부근
월요일,대전광역시 서구 갈마동,0,0,1,0,맑음,44762.0,교차로 - 교차로안
월요일,대전광역시 서구 갈마동,0,0,1,0,맑음,20961.0,교차로 - 교차로안
월요일,대전광역시 서구 갈마동,0,0,1,0,맑음,23801.0,교차로 - 교차로안
월요일,대전광역시 서구 관저동,0,0,1,0,맑음,62855.0,교차로 - 교차로횡단보도내
월요일,대전광역시 서구 관저동,0,0,1,0,맑음,14751.0,교차로 - 교차로횡단보도내
월요일,대전광역시 서구 관저동,0,0,1,0,맑음,48104.0,교차로 - 교차로횡단보도내
월요일,대전광역시 서구 도마동,0,0,1,0,맑음,34939.0,교차로 - 교차로부근
월요일,대전광역시 서구 도마동,0,0,1,0,맑음,18687.0,교차로 - 교차로부근
월요일,대전광역시 서구 도마동,0,0,1,0,맑음,16252.0,교차로 - 교차로부근
월요일,대전광역시 대덕구 송촌동,0,0,1,0,맑음,25620.0,교차로 - 교차로횡단보도내
월요일,대전광역시 대덕구 송촌동,0,0,1,0,맑음,25620.0,교차로 - 교차로횡단보도내
월요일,대전광역시 유성구 장대동,0,0,1,0,맑음,12421.0,교차로 - 교차로안
월요일,대전광역시 중구 유천동,0,0,1,0,맑음,18716.0,교차로 - 교차로안
월요일,대전광역시 중구 유천동,0,0,1,0,맑음,5760.0,교차로 - 교차로안
월요일,대전광역시 중구 유천동,0,0,1,0,맑음,12956.0,교차로 - 교차로안
화요일,대전광역시 유성구 복용동,0,0,1,0,흐림,1520.0,교차로 - 교차로부근
화요일,대전광역시 동구 천동,0,0,2,0,맑음,10547.0,교차로 - 교차로부근
화요일,대전광역시 중구 문화동,0,1,0,0,맑음,32040.0,교차로 - 교차로안
화요일,대전광역시 중구 문화동,0,1,0,0,맑음,20580.0,교차로 - 교차로안
화요일,대전광역시 중구 문화동,0,1,0,0,맑음,11460.0,교차로 - 교차로안
화요일,대전광역시 유성구 장대동,0,0,1,0,맑음,12421.0,교차로 - 교차로안
화요일,대전광역시 서구 월평동,0,1,0,0,맑음,44694.0,교차로 - 교차로안
화요일,대전광역시 서구 월평동,0,1,0,0,맑음,11127.0,교차로 - 교차로안
화요일,대전광역시 서구 월평동,0,1,0,0,맑음,13437.0,교차로 - 교차로안
화요일,대전광역시 서구 월평동,0,1,0,0,맑음,20130.0,교차로 - 교차로안
화요일,대전광역시 서구 탄방동,0,0,1,0,맑음,26410.0,교차로 - 교차로부근
화요일,대전광역시 서구 탄방동,0,0,1,0,맑음,26410.0,교차로 - 교차로부근
화요일,대전광역시 유성구 장대동,0,0,1,0,맑음,12421.0,교차로 - 교차로안
화요일,대전광역시 중구 태평동,0,0,2,0,맑음,36598.0,교차로 - 교차로안
화요일,대전광역시 중구 태평동,0,0,2,0,맑음,12533.0,교차로 - 교차로안
화요일,대전광역시 중구 태평동,0,0,2,0,맑음,24065.0,교차로 - 교차로안
수요일,대전광역시 중구 오류동,0,0,1,0,맑음,10077.0,교차로 - 교차로안
수요일,대전광역시 중구 오류동,0,0,1,0,맑음,10077.0,교차로 - 교차로안
수요일,대전광역시 대덕구 오정동,0,0,1,0,맑음,13668.0,교차로 - 교차로안
수요일,대전광역시 대덕구 오정동,0,0,1,0,맑음,13668.0,교차로 - 교차로안
수요일,대전광역시 유성구 궁동,0,0,1,0,맑음,7178.0,교차로 - 교차로안
수요일,대전광역시 유성구 송강동,0,0,1,0,맑음,16932.0,교차로 - 교차로안
수요일,대전광역시 중구 선화동,0,0,2,1,맑음,17328.0,교차로 - 교차로안
수요일,대전광역시 서구 둔산동,0,0,1,0,맑음,70196.0,교차로 - 교차로부근
수요일,대전광역시 서구 둔산동,0,0,1,0,맑음,16308.0,교차로 - 교차로부근
수요일,대전광역시 서구 둔산동,0,0,1,0,맑음,35023.0,교차로 - 교차로부근
수요일,대전광역시 서구 둔산동,0,0,1,0,맑음,18865.0,교차로 - 교차로부근
목요일,대전광역시 유성구 상대동,0,0,2,0,맑음,25132.0,교차로 - 교차로안
목요일,대전광역시 유성구 상대동,0,0,2,0,맑음,24720.0,교차로 - 교차로안
목요일,대전광역시 대덕구 석봉동,0,0,1,0,맑음,16032.0,교차로 - 교차로안
목요일,대전광역시 대덕구 석봉동,0,0,1,0,맑음,16032.0,교차로 - 교차로안
목요일,대전광역시 유성구 어은동,0,0,1,0,맑음,9669.0,교차로 - 교차로횡단보도내
목요일,대전광역시 동구 삼성동,0,1,4,0,맑음,13402.0,교차로 - 교차로안
목요일,대전광역시 동구 삼성동,0,1,4,0,맑음,13402.0,교차로 - 교차로안
목요일,대전광역시 대덕구 중리동,0,0,1,0,맑음,18162.0,교차로 - 교차로안
