사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022073100100444,2022년 7월 31일 22시,일요일,대전광역시 서구 괴정동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,젖음/습기,눈,단일로 - 지하차도(도로)내,승용,남,34세,상해없음,승용,여,51세,경상
2022073100100465,2022년 7월 31일 23시,일요일,대전광역시 서구 둔산동,경상사고,0,0,2,0,차대차 - 기타,신호위반,젖음/습기,비,교차로 - 교차로부근,화물,남,27세,상해없음,승용,남,51세,경상
2022080100100065,2022년 8월 1일 07시,월요일,대전광역시 서구 월평동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,64세,경상,화물,남,43세,경상
2022080100100099,2022년 8월 1일 08시,월요일,대전광역시 동구 인동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,젖음/습기,비,교차로 - 교차로부근,승용,남,56세,상해없음,승용,남,24세,경상
2022080100100100,2022년 8월 1일 08시,월요일,대전광역시 서구 도안동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,51세,상해없음,승용,여,27세,경상
2022080100100135,2022년 8월 1일 10시,월요일,대전광역시 서구 탄방동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,61세,상해없음,보행자,여,65세,경상
2022080100100136,2022년 8월 1일 10시,월요일,대전광역시 서구 탄방동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,63세,상해없음,개인형이동수단(PM),남,43세,경상
2022080100100172,2022년 8월 1일 11시,월요일,대전광역시 서구 둔산동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,건설기계,남,42세,상해없음,이륜,남,79세,중상
2022080100100173,2022년 8월 1일 11시,월요일,대전광역시 유성구 원촌동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,69세,기타불명,승용,여,37세,경상
2022080100100208,2022년 8월 1일 12시,월요일,대전광역시 중구 오류동,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,30세,상해없음,승합,남,57세,경상
2022080100100209,2022년 8월 1일 12시,월요일,대전광역시 대덕구 송촌동,중상사고,0,1,0,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,화물,남,75세,상해없음,승용,남,63세,중상
2022080100100271,2022년 8월 1일 14시,월요일,대전광역시 중구 오류동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,68세,상해없음,보행자,여,53세,중상
2022080100100272,2022년 8월 1일 14시,월요일,대전광역시 동구 대동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,42세,상해없음,자전거,남,52세,중상
2022080100100365,2022년 8월 1일 17시,월요일,대전광역시 대덕구 오정동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,57세,상해없음,승용,남,34세,경상
2022080100100366,2022년 8월 1일 17시,월요일,대전광역시 유성구 지족동,경상사고,0,0,1,1,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,이륜,남,49세,경상,승용,남,36세,부상신고
2022080100100408,2022년 8월 1일 18시,월요일,대전광역시 서구 용문동,경상사고,0,0,1,0,차대사람 - 기타,기타,건조,흐림,단일로 - 기타,승합,남,52세,기타불명,보행자,여,38세,경상
2022080100100454,2022년 8월 1일 20시,월요일,대전광역시 유성구 도룡동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로부근,이륜,남,29세,상해없음,승용,여,47세,경상
2022080100100455,2022년 8월 1일 20시,월요일,대전광역시 유성구 복용동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,흐림,교차로 - 교차로부근,승용,여,49세,상해없음,승용,남,61세,경상
2022080100100483,2022년 8월 1일 21시,월요일,대전광역시 서구 갈마동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,교차로 - 교차로부근,승용,남,38세,기타불명,승용,여,51세,경상
2022080200100015,2022년 8월 2일 00시,화요일,대전광역시 서구 도마동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,61세,상해없음,승용,여,30세,상해없음
2022080200100016,2022년 8월 2일 00시,화요일,대전광역시 유성구 장대동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,젖음/습기,흐림,교차로 - 교차로부근,승용,여,54세,상해없음,승용,여,48세,경상
2022080200100050,2022년 8월 2일 04시,화요일,대전광역시 중구 유천동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,이륜,남,40세,경상,승용,남,52세,상해없음
2022080200100104,2022년 8월 2일 08시,화요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차량단독 - 기타,기타,건조,맑음,단일로 - 기타,승합,남,39세,상해없음,,,,
2022080200100105,2022년 8월 2일 08시,화요일,대전광역시 유성구 전민동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,비,교차로 - 교차로안,승용,남,33세,기타불명,승용,여,56세,경상
2022080200100129,2022년 8월 2일 09시,화요일,대전광역시 서구 괴곡동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,77세,상해없음,승용,여,59세,중상
2022080200100157,2022년 8월 2일 10시,화요일,대전광역시 중구 선화동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,56세,상해없음,화물,남,31세,경상
2022080200100188,2022년 8월 2일 11시,화요일,대전광역시 서구 둔산동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로부근,승용,남,28세,상해없음,보행자,여,75세,중상
2022080200100296,2022년 8월 2일 14시,화요일,대전광역시 중구 호동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,기타,맑음,단일로 - 기타,승용,남,59세,상해없음,이륜,남,31세,경상
2022080200100400,2022년 8월 2일 17시,화요일,대전광역시 서구 관저동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,화물,남,69세,상해없음,승용,남,49세,경상
2022080200100401,2022년 8월 2일 17시,화요일,대전광역시 서구 월평동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,70세,상해없음,승용,여,50세,경상
2022080200100461,2022년 8월 2일 19시,화요일,대전광역시 동구 대동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,이륜,남,20세 이하,상해없음,개인형이동수단(PM),남,63세,경상
2022080200100477,2022년 8월 2일 20시,화요일,대전광역시 서구 갈마동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,32세,상해없음,이륜,남,42세,경상
2022080200100478,2022년 8월 2일 20시,화요일,대전광역시 서구 탄방동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,57세,상해없음,보행자,남,21세,경상
2022080200100503,2022년 8월 2일 21시,화요일,대전광역시 서구 괴정동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,기타,교차로 - 교차로안,화물,남,35세,상해없음,이륜,남,44세,경상
2022080300100029,2022년 8월 3일 01시,수요일,대전광역시 유성구 외삼동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31세,상해없음,승용,여,67세,중상
2022080300100085,2022년 8월 3일 07시,수요일,대전광역시 서구 도마동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,81세 이상,상해없음,승용,남,56세,경상
2022080300100086,2022년 8월 3일 07시,수요일,대전광역시 유성구 봉명동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,44세,상해없음,승용,남,44세,경상
2022080300100121,2022년 8월 3일 08시,수요일,대전광역시 유성구 장대동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,60세,기타불명,승용,여,24세,경상
2022080300100167,2022년 8월 3일 10시,수요일,대전광역시 중구 부사동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,이륜,여,70세,경상,승용,남,32세,상해없음
2022080300100168,2022년 8월 3일 10시,수요일,대전광역시 유성구 노은동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,51세,상해없음,승용,남,63세,경상
2022080300100230,2022년 8월 3일 12시,수요일,대전광역시 대덕구 비래동,경상사고,0,0,3,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,62세,경상,승용,여,65세,경상
2022080300100355,2022년 8월 3일 16시,수요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,48세,상해없음,이륜,남,25세,경상
2022080300100390,2022년 8월 3일 17시,수요일,대전광역시 동구 홍도동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,승용,남,73세,상해없음,보행자,남,12세 이하,경상
2022080300100437,2022년 8월 3일 18시,수요일,대전광역시 중구 대흥동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,60세,상해없음,보행자,남,69세,경상
2022080300100438,2022년 8월 3일 18시,수요일,대전광역시 중구 중촌동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,55세,상해없음,승용,남,35세,경상
2022080300100439,2022년 8월 3일 18시,수요일,대전광역시 서구 둔산동,경상사고,0,0,5,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승합,남,49세,상해없음,화물,남,56세,경상
2022080300100466,2022년 8월 3일 19시,수요일,대전광역시 서구 도안동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승합,남,56세,상해없음,자전거,남,12세 이하,경상
2022080300100467,2022년 8월 3일 19시,수요일,대전광역시 서구 탄방동,중상사고,0,1,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,20세 이하,상해없음,승용,남,36세,중상
2022080300100494,2022년 8월 3일 20시,수요일,대전광역시 대덕구 오정동,경상사고,0,0,3,0,차대차 - 기타,신호위반,건조,맑음,단일로 - 교량,화물,남,61세,상해없음,승용,남,23세,경상
2022080400100121,2022년 8월 4일 09시,목요일,대전광역시 동구 가오동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,여,58세,상해없음,승용,여,50세,경상
